                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6607,                 11.636,                 2.2945,                0.00127,                0.34076,                0.00591,                0.00291,                 2.2076,                  15.92,                 2.2428,             0.00054574,             0.00054574,             0.00054574
                      2,                 2.5282,                 8.9637,                 2.2374,                0.32592,                0.46349,                0.30351,                0.18771,                 2.4543,                 11.327,                 2.3656,              0.0010739,              0.0010739,              0.0010739
                      3,                 2.5929,                  6.741,                 2.3251,                0.27747,                0.25617,                0.19743,                0.11644,                 2.6262,                 8.2122,                 2.5031,              0.0015743,              0.0015743,              0.0015743
                      4,                  2.731,                 5.6706,                 2.3693,                0.32105,                0.52078,                0.31105,                0.19864,                  2.601,                 6.2924,                  2.325,              0.0015421,              0.0015421,              0.0015421
                      5,                 2.4935,                 4.5941,                 2.2496,                0.41026,                0.59654,                0.38494,                0.25749,                 2.4817,                 5.0846,                 2.3582,              0.0015005,              0.0015005,              0.0015005
                      6,                 2.5639,                 3.8868,                 2.2866,                0.39187,                 0.6406,                0.41156,                0.26701,                 2.3491,                 4.9565,                 2.1852,              0.0014588,              0.0014588,              0.0014588
                      7,                 2.4471,                 3.5457,                 2.2374,                0.44218,                 0.6795,                0.43173,                0.30351,                 2.2678,                 3.6914,                 2.1639,              0.0014172,              0.0014172,              0.0014172
                      8,                 2.4637,                 3.2488,                 2.2203,                0.40686,                0.69476,                 0.4565,                0.31625,                 2.2771,                 3.5778,                 2.1611,              0.0013756,              0.0013756,              0.0013756
                      9,                 2.4259,                 3.1217,                  2.223,                0.42701,                0.70249,                0.40642,                0.27989,                 2.3381,                 3.5443,                 2.2097,              0.0013339,              0.0013339,              0.0013339
                     10,                  2.409,                 2.9713,                 2.1883,                0.44975,                0.69425,                0.45046,                0.32072,                 2.2116,                 3.1946,                 2.1286,              0.0012923,              0.0012923,              0.0012923
                     11,                 2.3845,                 2.9625,                 2.1633,                0.42251,                0.68152,                0.43787,                0.31808,                  2.103,                 3.1204,                 2.1047,              0.0012507,              0.0012507,              0.0012507
                     12,                 2.3517,                 2.8841,                 2.1763,                0.42589,                0.75093,                0.45209,                0.32329,                 2.1639,                  2.735,                 2.1289,               0.001209,               0.001209,               0.001209
                     13,                 2.3116,                 2.7389,                 2.1712,                0.45345,                0.77802,                0.46001,                0.32921,                  2.201,                 2.7093,                 2.1081,              0.0011674,              0.0011674,              0.0011674
                     14,                 2.2429,                  2.649,                 2.1312,                0.43655,                0.72075,                0.45225,                0.33202,                 2.1079,                 2.6482,                 2.0909,              0.0011258,              0.0011258,              0.0011258
                     15,                 2.1882,                 2.5549,                 2.0943,                0.43357,                0.77818,                0.44964,                0.34036,                 2.0719,                 2.5544,                 2.0588,              0.0010841,              0.0010841,              0.0010841
                     16,                 2.2129,                 2.5855,                 2.1115,                0.45442,                0.68398,                 0.4496,                0.31344,                 2.1362,                 2.8468,                 2.1711,              0.0010425,              0.0010425,              0.0010425
                     17,                 2.1991,                 2.4669,                 2.1208,                0.43958,                0.74645,                0.47448,                0.35059,                 2.0441,                 2.5827,                 2.0505,              0.0010009,              0.0010009,              0.0010009
                     18,                 2.1251,                 2.4818,                 2.0686,                0.42689,                0.76051,                0.45603,                0.33088,                 2.1315,                 2.6796,                 2.0726,             0.00095923,             0.00095923,             0.00095923
                     19,                    2.2,                 2.4457,                 2.1103,                0.46829,                0.74519,                0.46707,                0.33565,                 2.1147,                 2.4883,                 2.0491,              0.0009176,              0.0009176,              0.0009176
                     20,                 2.0945,                 2.3455,                 2.0555,                0.45172,                0.74545,                0.47515,                0.33874,                 2.1766,                  2.623,                 2.0961,             0.00087597,             0.00087597,             0.00087597
                     21,                 2.2348,                 2.4227,                 2.0952,                0.45281,                0.71522,                 0.4585,                0.33052,                 2.0744,                 2.6841,                 2.0788,             0.00083433,             0.00083433,             0.00083433
                     22,                 2.0621,                 2.3728,                 2.0489,                0.45539,                0.75619,                0.45652,                0.33709,                 1.9949,                 2.4256,                 2.0246,              0.0007927,              0.0007927,              0.0007927
                     23,                 2.1037,                 2.3169,                 2.0562,                0.45011,                0.79665,                0.44419,                 0.3236,                 1.9868,                   2.43,                 2.0443,             0.00075107,             0.00075107,             0.00075107
                     24,                 2.0739,                 2.2881,                 2.0379,                0.43649,                0.80965,                 0.4348,                0.31121,                  2.095,                 2.5864,                 2.0675,             0.00070943,             0.00070943,             0.00070943
                     25,                 2.0577,                 2.2659,                 2.0226,                0.44202,                0.79109,                0.43545,                0.30892,                 2.1252,                 2.5816,                 2.1054,              0.0006678,              0.0006678,              0.0006678
                     26,                 1.9322,                 2.2423,                 1.9972,                0.45756,                0.75146,                0.45794,                0.34607,                 1.9196,                 2.5415,                 2.0333,             0.00062617,             0.00062617,             0.00062617
                     27,                 2.0117,                 2.2318,                 2.0166,                0.42987,                0.79967,                0.43568,                0.32183,                 1.9567,                  2.477,                 1.9905,             0.00058453,             0.00058453,             0.00058453
                     28,                   1.99,                 2.1995,                 2.0285,                0.45006,                0.82212,                0.46175,                0.33525,                 1.9977,                 2.6108,                 2.0538,              0.0005429,              0.0005429,              0.0005429
